mini,base_mm2,cost
Heretic Astartes Daemon Prince With Wings,60mm,180.0
Renegade Enforcer,25mm,65.0
Renegade Heavy Weapons Squad,40mm,75.0
OGRYN PACK MASTER,40mm,40.0
OGRYN PACK MASTER,40mm,70.0
CHAOS MAULER HOUND,60 x 35.5mm,40.0
CHAOS MAULER HOUND,60 x 35.5mm,70.0
Renegade Ogryn Brutes,40mm,95.0
Renegade Plague Ogryns,40mm,95.0
Deffkoptas With Big Shootas,75 x 42mm,130.0
Death Company Marines With Jump Packs,32mm,120.0
Death Company Marines With Jump Packs,32mm,230.0
Sanguinary Priest With Jump Pack,32mm,100.0
Earthshaker Platform,Use model,110.0
Elysian Drop Sentinel,60mm,85.0
Leman Russ Eradicator,Use model,170.0
Leman Russ Executioner,Use model,170.0
Leman Russ Exterminator,Use model,180.0
Leman Russ Punisher,Use model,150.0
Leman Russ Vanquisher,Use model,145.0
Tempestus Scions,25mm,70.0
Tempestus Scions,25mm,140.0
Ravenwing Command Squad,75 x 42mm,120.0
Daemon Prince of Nurgle with Wings,60mm,195.0
Icon Bearer,32mm,45.0
Norn Emissary,100mm,260.0
Norn Assimilator,100mm,275.0
Neurolictor,50mm,70.0
Exalted Sorcerer on Disc of Tzeentch,40mm,100.0
Daemon Prince of Khorne with Wings,60mm,180.0
Daemon Prince Of Chaos With Wings,60mm,180.0
Autarch Wayleaper,32mm,80.0
Inquisitor In Terminator Armour,25mm,70.0
Damned Legionnaires,25mm,90.0
Damned Legionnaires,25mm,180.0
ROGUE TRADER,25mm,75.0
ROGUE TRADER,25mm,105.0
OTHER MODELS,25mm,75.0
OTHER MODELS,25mm,105.0
Janus Draik,32mm,40.0
Neyam Shai Murad,32mm,40.0
Navigator,32mm,60.0
Navigator,32mm,75.0
Ur-025,32mm,55.0
Inquisitorial Agents,25mm,50.0
Inquisitorial Agents,25mm,100.0
Inquisitorial Agents,25mm,60.0
Inquisitorial Agents,25mm,120.0
Grey Knights Relic Razorback,Use model,95.0
Armiger Moirax,100mm,150.0
Sir Hekhtur,25mm,
EPHRAEL STERN,32mm,85.0
KYGANIL OF THE BLOODY TEARS,32mm,85.0
Company Heroes,40mm,105.0
Apothecary,40mm,50.0
Ancient,40mm,50.0
Assault Intercessors With Jump Packs,32mm,90.0
Assault Intercessors With Jump Packs,32mm,170.0
Spectrus Kill Team,32mm,180.0
Fortis Kill Team,32mm,180.0
Indomitor Kill Team,40mm,250.0
Deathwatch Veterans,32mm,100.0
Deathwatch Veterans,32mm,190.0
Impulsor,100mm,85.0
Gladiator Lancer,100mm,160.0
Gladiator Valiant,100mm,160.0
Gladiator Reaper,100mm,160.0
Repulsor Executioner,100mm,220.0
Repulsor,100mm,180.0
GRIMALDUS,40mm,110.0
CENOBYTE SERVITOR,28.5mm,110.0
Castellan,40mm,60.0
High Marshal Helbrecht,60mm,120.0
Emperor's Champion,40mm,90.0
Marshal,40mm,80.0
Sword Brethren Squad,40mm,105.0
Sword Brethren Squad,40mm,130.0
Sword Brethren Squad,40mm,235.0
Sword Brethren Squad,40mm,260.0
NEOPHYTES,28.5mm,150.0
NEOPHYTES,28.5mm,310.0
OTHER MODELS,32mm,150.0
OTHER MODELS,32mm,310.0
Venerable Dreadnought,60mm,140.0
Wolf Guard Pack Leader With Jump Pack,32mm,
Wolf Guard Pack Leader In Terminator Armour,40mm,
Wolf Guard Pack Leader,32mm,
Cyberwolf,40mm,
Hounds Of Morkai,32mm,
Castellum Stronghold,Use model,
Wall Of Martyrs Bunker,Use model,180.0
Wall Of Martyrs Defence Line,Use model,140.0
Wall Of Martyrs Defence Line,Use model,280.0
Wall Of Martyrs Defence Emplacement,Use model,140.0
Aegis Defence Line With Weapon Emplacement,Use model,145.0
Khorne Berzerkers,32mm,180.0
Khorne Berzerkers,32mm,360.0
Rubric Marine,32mm,105.0
Rubric Marine,32mm,190.0
Aspiring Sorcerer,32mm,105.0
Aspiring Sorcerer,32mm,190.0
Plague Marines,32mm,95.0
Plague Marines,32mm,130.0
Plague Marines,32mm,190.0
Chaos Thunderhawk,120 x 92mm flying base,840.0
Greater Blight Drone,60mm,150.0
Blood Slaughterer,Use model,160.0
Chaos Thunderhawk,120 x 92mm flying base,840.0
Greater Brass Scorpion,Use model,560.0
Kytan Ravager,170 x 109mm,425.0
Chaos Thunderhawk,120 x 92mm flying base,840.0
Chaos Lord On Palanquin Of Nurgle,60mm,90.0
NIGHTMARE HULK,40mm,125.0
GELLERPOX MUTANTS,25mm,125.0
Hell Blade,120 x 92mm flying base,115.0
Hell Talon,120 x 92mm flying base,140.0
Mutoid Vermin,25mm,85.0
Chaos Lord On Disc Of Tzeentch,40mm,100.0
Hell Blade,120 x 92mm flying base,115.0
Hell Talon,120 x 92mm flying base,140.0
Sorcerer On Palanquin Of Nurgle,60mm,80.0
Hell Blade,120 x 92mm flying base,115.0
Hell Talon,120 x 92mm flying base,140.0
Terrax-pattern Termite,Use model,200.0
Terrax-pattern Termite,Use model,200.0
Terrax-pattern Termite,Use model,200.0
Terrax-pattern Termite,Use model,200.0
Land Raider Achilles,Use model,285.0
Land Raider Achilles,Use model,285.0
Land Raider Achilles,Use model,285.0
Land Raider Achilles,Use model,285.0
Land Raider Proteus,Use model,250.0
Land Raider Proteus,Use model,250.0
Land Raider Proteus,Use model,250.0
Land Raider Proteus,Use model,250.0
Fire Raptor Gunship,120 x 92mm flying base,290.0
Fire Raptor Gunship,120 x 92mm flying base,290.0
Fire Raptor Gunship,120 x 92mm flying base,290.0
Fire Raptor Gunship,120 x 92mm flying base,290.0
Spartan,Use model,315.0
Spartan,Use model,315.0
Spartan,Use model,315.0
Spartan,Use model,315.0
Deredeo Dreadnought,80mm,170.0
Deredeo Dreadnought,80mm,170.0
Deredeo Dreadnought,80mm,170.0
Deredeo Dreadnought,80mm,170.0
Cerberus,Use model,285.0
Cerberus,Use model,285.0
Cerberus,Use model,285.0
Cerberus,Use model,285.0
Kratos,Use model,265.0
Kratos,Use model,265.0
Kratos,Use model,265.0
Kratos,Use model,265.0
Sokar-pattern Stormbird,Use model,1100.0
Sokar-pattern Stormbird,Use model,1100.0
Sokar-pattern Stormbird,Use model,1100.0
Sokar-pattern Stormbird,Use model,1100.0
Sicaran Battle Tank,Use model,220.0
Sicaran Battle Tank,Use model,220.0
Sicaran Battle Tank,Use model,220.0
Sicaran Battle Tank,Use model,220.0
Mastodon,Use model,610.0
Mastodon,Use model,610.0
Mastodon,Use model,610.0
Mastodon,Use model,610.0
Leviathan Dreadnought,80mm,215.0
Leviathan Dreadnought,80mm,215.0
Leviathan Dreadnought,80mm,215.0
Leviathan Dreadnought,80mm,215.0
Fellblade,Use model,535.0
Fellblade,Use model,535.0
Fellblade,Use model,535.0
Fellblade,Use model,535.0
Relic Contemptor Dreadnought,60mm,180.0
Relic Contemptor Dreadnought,60mm,180.0
Relic Contemptor Dreadnought,60mm,180.0
Relic Contemptor Dreadnought,60mm,180.0
Whirlwind Scorpius,Use model,115.0
Whirlwind Scorpius,Use model,115.0
Whirlwind Scorpius,Use model,115.0
Whirlwind Scorpius,Use model,115.0
Xiphon Interceptor,120 x 92mm flying base,115.0
Xiphon Interceptor,120 x 92mm flying base,115.0
Xiphon Interceptor,120 x 92mm flying base,115.0
Xiphon Interceptor,120 x 92mm flying base,115.0
Rapier Carrier,Use model,100.0
Rapier Carrier,Use model,100.0
Rapier Carrier,Use model,100.0
Rapier Carrier,Use model,100.0
Storm Eagle Gunship,120 x 92mm flying base,255.0
Storm Eagle Gunship,120 x 92mm flying base,255.0
Storm Eagle Gunship,120 x 92mm flying base,255.0
Storm Eagle Gunship,120 x 92mm flying base,255.0
Sicaran Venator,Use model,220.0
Sicaran Venator,Use model,220.0
Sicaran Venator,Use model,220.0
Sicaran Venator,Use model,220.0
Typhon,Use model,385.0
Typhon,Use model,385.0
Typhon,Use model,385.0
Typhon,Use model,385.0
Sicaran Punisher,Use model,220.0
Sicaran Punisher,Use model,220.0
Sicaran Punisher,Use model,220.0
Sicaran Punisher,Use model,220.0
Falchion,Use model,515.0
Falchion,Use model,515.0
Falchion,Use model,515.0
Falchion,Use model,515.0
Sydonian Dragoons,105 x 70mm,55.0
Sydonian Dragoons,105 x 70mm,100.0
Sydonian Dragoons,105 x 70mm,150.0
Sydonian Skatros,40mm,50.0
Inner Circle Companions,40mm,90.0
Inner Circle Companions,40mm,180.0
Crisis Sunforge Battlesuits,50mm,140.0
Crisis Battlesuits,50mm,120.0
Crisis Battlesuits,50mm,110.0
Kroot Trail Shaper,32mm,55.0
Kroot War Shaper,32mm,50.0
Kroot Flesh Shaper,32mm,45.0
Kroot Lone-Spear,90 x 52mm,80.0
Krootox Rampagers,50mm,85.0
Krootox Rampagers,50mm,170.0
Big Mek,50mm,70.0
Ufthak Blackhawk,50mm,70.0
Chaos Lord,40mm,80.0
Cultist Firebrand,32mm,45.0
Cultist Mob with Firearms,25mm,50.0
Cultist Mob with Firearms,25mm,100.0
Canoness,32mm,75.0
Benefictus,32mm,70.0
Acolyte Hybrids With Hand Flamers,32mm,70.0
Acolyte Hybrids With Hand Flamers,32mm,140.0
Celestian Sacresant Aveline,50mm,45.0
Ministorum Priest,32mm,40.0
Grey Knights Terminator Squad,40mm,190.0
Grey Knights Terminator Squad,40mm,210.0
Watch Captain Artemis,32mm,65.0
Watch Master,32mm,95.0
Deathwatch Veterans,32mm,100.0
Deathwatch Veterans,32mm,190.0
Corvus Blackstar,120 x 92mm flying base,180.0
Battle Sisters Squad,32mm,100.0
Battle Sisters Squad,32mm,115.0
Immolator,Use model,100.0
Immolator,Use model,115.0
Chimera,Use model,70.0
KILL TEAM VETERAN,32mm,220.0
KILL TEAM BIKER,75 x 42mm,220.0
CHAPLAIN CASSIUS,32mm,220.0
KILL TEAM TERMINATOR,40mm,220.0
Deathwatch Terminator Squad,40mm,210.0
Deathwatch Terminator Squad,40mm,420.0
Veteran Bike Squad,75 x 25mm,70.0
Veteran Bike Squad,75 x 25mm,140.0
KILL TEAM VETERANS,32mm,160.0
KILL TEAM VETERANS,32mm,320.0
KILL TEAM BIKER,75 x 42mm,160.0
KILL TEAM BIKER,75 x 42mm,320.0
KILL TEAM TERMINATOR,40mm,160.0
KILL TEAM TERMINATOR,40mm,320.0
KILL TEAM INTERCESSOR,32mm,100.0
KILL TEAM INTERCESSOR,32mm,200.0
KILL TEAM OUTRIDER,90 x 52mm,100.0
KILL TEAM OUTRIDER,90 x 52mm,200.0
Indomitor Kill Team,40mm,120.0
Indomitor Kill Team,40mm,240.0
Spectrus Kill Team,32mm,90.0
Spectrus Kill Team,32mm,180.0
Daemonhost,25mm,40.0
Daemonhost,25mm,80.0
Jokaero Weaponsmith,25mm,30.0
Imperial Rhino,Use model,75.0
Captain,40mm,80.0
Death Company Captain,40mm,70.0
Death Company Captain,40mm,75.0
Tempestus Aquilons,28.5mm,100.0
Death Company Dreadnought with Magna-grapple,90mm,145.0
Death Company Marines with Boltguns,32mm,125.0
Death Company Marines with Boltguns,32mm,250.0
Death Company Marines with Boltguns and Jump Packs,32mm,140.0
Death Company Marines with Boltguns and Jump Packs,32mm,280.0
Tech-priest Dominus,50mm,65.0
Tech-priest Manipulus,50mm,60.0
Skitarii Marshal,32mm,35.0
Skitarii Rangers,25mm,85.0
Skitarii Vanguard,25mm,95.0
Cultist Firebrand,32mm,45.0
CULT DEMAGOGUE,32mm,90.0
OTHER MODELS,28.5mm,90.0
TRAITOR ENFORCER,32mm,55.0
TRAITOR OGRYN,40mm,55.0
Renegade Enforcer,25mm,65.0
Rogue Psyker,32mm,60.0
Cultist Mob,25mm,50.0
Cultist Mob,25mm,100.0
Cultist Mob with Firearms,25mm,50.0
Cultist Mob with Firearms,25mm,100.0
MUTANT,25mm,90.0
MUTANT,25mm,195.0
TORMENT,40mm,90.0
TORMENT,40mm,195.0
Fellgor Beastmen,32mm,70.0
Traitor Guardsmen Squad,25mm,70.0
NIGHTMARE HULK,40mm,125.0
GELLERPOX MUTANTS,25mm,125.0
Mutoid Vermin,25mm,85.0
Negavolt Cultists,32mm,55.0
Renegade Heavy Weapons Squad,40mm,75.0
OGRYN PACK MASTER,40mm,40.0
OGRYN PACK MASTER,40mm,70.0
CHAOS MAULER HOUND,60 x 35.5mm,40.0
CHAOS MAULER HOUND,60 x 35.5mm,70.0
Renegade Ogryn Brutes,40mm,95.0
Renegade Plague Ogryns,40mm,95.0
BREAKA BOY,32mm,140.0
Watch Master,32mm,95.0
Watch Captain Artemis,32mm,65.0
Deathwatch Terminator Squad,40mm,190.0
Deathwatch Terminator Squad,40mm,350.0
KILL TEAM SERGEANT WITH JUMP PACK AND KILL TEAM INTERCESSORS WITH JUMP PACKS,32mm,275.0
KILL TEAM HEAVY INTERCESSORS WITH JUMP PACKS,40mm,275.0
KILL TEAM VETERAN,32mm,220.0
KILL TEAM BIKER,75 x 42mm,220.0
CHAPLAIN CASSIUS,32mm,220.0
KILL TEAM TERMINATOR,40mm,220.0
Legionaries,32mm,110.0
Legionaries,32mm,190.0
Deathleaper,60mm,80.0
Parasite Of Mortrex,40mm,80.0
Winged Hive Tyrant,60mm,170.0
Winged Tyranid Prime,50mm,65.0
Gargoyles,32mm flying base,85.0
Gargoyles,32mm flying base,170.0
Tyrannocyte,100mm,105.0
Lictor,50mm,60.0
Mawloc,120 x 92mm,135.0
Neurolictor,50mm,70.0
Raveners,40mm,75.0
Raveners,40mm,150.0
Trygon,120 x 92mm,140.0
Von Ryan's Leapers,40mm,70.0
Von Ryan's Leapers,40mm,140.0
LORD COMMISSAR,32mm,65.0
VETERAN GUARDSMAN,25mm,65.0
Lord Marshal Dreir,75 x 42mm,100.0
CATACHAN COMMANDER,25mm,65.0
VETERAN GUARDSMAN,25mm,65.0
Rogal Dorn Tank Commander,Use model,275.0
Krieg Combat Engineers,25mm,60.0
Krieg Combat Engineers,25mm,95.0
Catachan Heavy Weapons Squad,60mm,65.0
HEAVY WEAPONS GUNNER,50mm,75.0
FIRE COORDINATOR,25mm,75.0
Artillery Team,130mm,95.0
Artillery Team,100mm,110.0
Death Riders,60 x 35.5mm,60.0
Death Riders,60 x 35.5mm,120.0
Lhykhis,40mm,120.0
D-cannon Platform,40mm,125.0
Shadow Weaver Platform,40mm,75.0
Vibro Cannon Platform,40mm,60.0
Wraithknight,120 x 92mm,420.0
Ynnari Archon,32mm,85.0
Ynnari Succubus,25mm,45.0
Ynnari Kabalite Warriors,25mm,110.0
Ynnari Wyches,25mm,90.0
INCUBI,28.5mm,85.0
INCUBI,28.5mm,170.0
KLAIVEX,28.5mm,85.0
KLAIVEX,28.5mm,170.0
Ynnari Reavers,32mm flying base,65.0
Ynnari Reavers,32mm flying base,120.0
Ynnari Raider,60mm flying base,80.0
Venom,60mm flying base,70.0
MINKA LESK,,80.0
LESK'S VETERANS,,80.0
Ratlings,,40.0
Cadian Castellan,28.5mm,55.0
CADIAN COMMANDER,28.5mm,65.0
CADIAN VETERAN GUARDSMAN,28.5mm,65.0
CATACHAN COMMANDER,25mm,65.0
VETERAN GUARDSMAN,25mm,65.0
LORD COMMISSAR,32mm,65.0
VETERAN GUARDSMAN,25mm,65.0
Leman Russ Commander,Use model,235.0
Primaris Psyker,32mm,60.0
Rogal Dorn Tank Commander,Use model,275.0
Death Rider Commissar,40mm,35.0
QUARTERMASTER REVENANT,25mm,45.0
MEDICAE SERVITOR,25mm,45.0
MINKA LESK,,80.0
LESK'S VETERANS,,80.0
Cadian Shock Troops,25mm,65.0
Cadian Shock Troops,25mm,120.0
Catachan Jungle Fighters,25mm,65.0
Catachan Jungle Fighters,25mm,120.0
Death Korps Of Krieg,25mm,65.0
Death Korps Of Krieg,25mm,145.0
Chimera,Use model,85.0
Taurox,Use model,75.0
Taurox Prime,Use model,90.0
Storm Chimera,Use model,90.0
Aegis Defence Line,Use model,145.0
Earthshaker Platform,Use model,110.0
Hydra Platform,Use model,95.0
Manticore Platform,Use model,95.0
Sabre Weapons Battery,Use model,45.0
Sabre Weapons Battery,Use model,90.0
Armoured Sentinels,80mm,65.0
Armoured Sentinels,80mm,130.0
Artillery Team,130mm,95.0
Attilan Rough Riders,60 x 35.5mm,60.0
Attilan Rough Riders,60 x 35.5mm,120.0
Baneblade,Use model,450.0
Banehammer,Use model,420.0
Banesword,Use model,450.0
Basilisk,Use model,140.0
Heavy Weapons Squad,50mm,65.0
Catachan Heavy Weapons Squad,60mm,65.0
Death Riders,60 x 35.5mm,60.0
Death Riders,60 x 35.5mm,120.0
Deathstrike,Use model,145.0
Doomhammer,Use model,415.0
Artillery Team,100mm,110.0
Hellhammer,Use model,420.0
Hellhound,Use model,125.0
Hydra,Use model,95.0
Kasrkin,28.5mm,110.0
Krieg Combat Engineers,25mm,60.0
Krieg Combat Engineers,25mm,95.0
HEAVY WEAPONS GUNNER,50mm,75.0
FIRE COORDINATOR,25mm,75.0
Leman Russ Battle Tank,Use model,185.0
Leman Russ Demolisher,Use model,190.0
Leman Russ Eradicator,Use model,170.0
Leman Russ Executioner,Use model,170.0
Leman Russ Exterminator,Use model,180.0
Leman Russ Punisher,Use model,150.0
Leman Russ Vanquisher,Use model,145.0
Manticore,Use model,165.0
Rogal Dorn Battle Tank,Use model,250.0
Scout Sentinels,80mm,55.0
Scout Sentinels,80mm,110.0
Shadowsword,Use model,410.0
Stormlord,Use model,430.0
Stormsword,Use model,465.0
Wyvern,Use model,110.0
Cyclops Demolition Vehicle,Use model,25.0
Arkurian Stormhammer,Use model,480.0
Armageddon-pattern Medusa,Use model,105.0
Atlas Recovery Vehicle,Use model,80.0
Carnodon,Use model,160.0
Centaur Light Carrier,Use model,40.0
Colossus,Use model,160.0
Crassus,Use model,180.0
GRENADIER,25mm,110.0
HEAVY WEAPONS TEAM,60mm,110.0
Dominus Armoured Siege Bombard,Use model,325.0
Earthshaker Carriage Battery,Use model,120.0
Elysian Drop Sentinel,60mm,85.0
Elysian Sniper Squad,60mm,65.0
Gorgon Heavy Transport,Use model,275.0
Griffon Mortar Carrier,Use model,115.0
Hades Breaching Drill,Use model,110.0
Heavy Mortar Team,Use model,50.0
Heavy Quad Launcher Team,Use model,50.0
Macharius,Use model,310.0
Macharius Omega,Use model,310.0
Macharius Vanquisher,Use model,285.0
Macharius Vulcan,Use model,310.0
Malcador,Use model,250.0
Malcador Annihilator,Use model,270.0
Malcador Defender,Use model,310.0
Malcador Infernus,Use model,235.0
Medusa Carriage Battery,Use model,125.0
Minotaur,Use model,225.0
Mukaali Riders,40mm,110.0
Munitorum Servitors,25mm,35.0
Praetor,Use model,275.0
Rapier Laser Destroyer Battery,Use model,35.0
Rapier Laser Destroyer Battery,Use model,70.0
Rapier Laser Destroyer Battery,Use model,105.0
Regimental Attachés,,40.0
Salamander Command Vehicle,Use model,80.0
Salamander Scout Vehicle,Use model,95.0
Sentinel Powerlifter,Use model,55.0
Stormblade,Use model,415.0
Stygies Destroyer Tank Hunter,Use model,180.0
Tarantula Battery,Use model,40.0
Tarantula Battery,Use model,80.0
Tarantula Battery,Use model,120.0
Tauros Assault Vehicle,Use model,50.0
Tauros Venator,Use model,55.0
Trojan Support Vehicle,Use model,80.0
Valdor,Use model,285.0
Chaos Lord,40mm,90.0
Chaos Lord In Terminator Armour,40mm,95.0
Chaos Lord,40mm,80.0
Chaos Lord On Disc Of Tzeentch,40mm,100.0
Chaos Lord On Juggernaut,90 x 52mm,115.0
Chaos Lord On Palanquin Of Nurgle,60mm,90.0
Chaos Lord On Steed Of Slaanesh,No official base size,100.0
Chaos Terminator Squad,40mm,180.0
Chaos Terminator Squad,40mm,360.0
Chosen,32mm,125.0
Chosen,32mm,250.0
Cultist Firebrand,32mm,45.0
CULT DEMAGOGUE,32mm,90.0
OTHER MODELS,28.5mm,90.0
TRAITOR ENFORCER,32mm,55.0
TRAITOR OGRYN,40mm,55.0
Renegade Enforcer,25mm,65.0
Rogue Psyker,32mm,60.0
Cultist Mob,25mm,50.0
Cultist Mob,25mm,100.0
Cultist Mob with Firearms,25mm,50.0
Cultist Mob with Firearms,25mm,100.0
MUTANT,25mm,90.0
MUTANT,25mm,195.0
TORMENT,40mm,90.0
TORMENT,40mm,195.0
Fellgor Beastmen,32mm,70.0
Traitor Guardsmen Squad,25mm,70.0
NIGHTMARE HULK,40mm,125.0
GELLERPOX MUTANTS,25mm,125.0
Mutoid Vermin,25mm,85.0
Negavolt Cultists,32mm,55.0
Renegade Heavy Weapons Squad,40mm,75.0
OGRYN PACK MASTER,40mm,40.0
OGRYN PACK MASTER,40mm,70.0
CHAOS MAULER HOUND,60 x 35.5mm,40.0
CHAOS MAULER HOUND,60 x 35.5mm,70.0
Renegade Ogryn Brutes,40mm,95.0
Renegade Plague Ogryns,40mm,95.0
DARK APOSTLE,40mm,65.0
DARK DISCIPLE,25mm,65.0
Havocs,40mm,125.0
Legionaries,32mm,90.0
Legionaries,32mm,170.0
Master Of Possession,40mm,60.0
Possessed,40mm,120.0
Possessed,40mm,240.0
Raptors,32mm,90.0
Raptors,32mm,170.0
Sorcerer,40mm,60.0
Sorcerer On Disc Of Tzeentch,40mm,80.0
Sorcerer On Palanquin Of Nurgle,60mm,80.0
Sorcerer On Steed Of Slaanesh,No official base size,85.0
Sorcerer In Terminator Armour,40mm,80.0
Warp Talons,32mm,125.0
Warp Talons,32mm,270.0
Fulgrim,130mm,340.0
Lord Exultant,40mm,80.0
Tormentors,32mm,85.0
Tormentors,32mm,170.0
Infractors,32mm,85.0
Infractors,32mm,160.0
Terminator Squad,40mm,170.0
Chaos Land Raider,Use model,220.0
Lucius the Eternal,50mm,150.0
Lord Kakophonist,40mm,70.0
Sorcerer,40mm,60.0
Daemon Prince of Slaanesh,60mm,195.0
Daemon Prince of Slaanesh with Wings,60mm,200.0
Noise Marines,40mm,145.0
Flawless Blades,40mm,110.0
Flawless Blades,40mm,220.0
Chaos Spawn,50mm,80.0
Maulerfiend,120 x 92mm,130.0
Heldrake,120 x 92mm flying base,195.0
Chaos Rhino,Use model,80.0
Shalaxi Helbane,100mm,380.0
Daemonettes,25mm,90.0
Fiends,75 x 42mm,95.0
Fiends,75 x 42mm,190.0
Keeper of Secrets,100mm,270.0
Seekers,60 x 35.5mm,80.0
Seekers,60 x 35.5mm,160.0
Noise Marines,40mm,145.0
Tormentbringer,120 x 92mm,140.0
Hellflayer,120 x 92mm,105.0
Hellflayer,120 x 92mm,210.0
Karanak,75 x 42mm,65.0
Skarbrand,100mm,305.0
Bloodthirster,120 x 92mm,305.0
Bloodletters,32mm,90.0
Bloodcrushers,90 x 52mm,110.0
Bloodcrushers,90 x 52mm,220.0
Flesh Hounds,60 x 35.5mm,75.0
Flesh Hounds,60 x 35.5mm,150.0
Lord of Poxes,40mm,75.0
Foetid Bloat-drone,60mm,120.0
Rotigus,130mm,250.0
Great Unclean One,130mm,250.0
Plaguebearers,32mm,110.0
Plague Drones,60mm,115.0
Plague Drones,60mm,230.0
Beasts of Nurgle,60mm,65.0
Beasts of Nurgle,60mm,130.0
Nurglings,40mm,40.0
Nurglings,40mm,70.0
Ravener Prime,40mm,165.0
Raveners,40mm,165.0
Ravener Prime,40mm,165.0
Raveners,40mm,165.0
Servitor Underseer,32mm,60.0
Combat Servitors and Gun Servitors,25mm,60.0
Daemon Prince of Tzeentch with Wings,60mm,170.0
Sekhetar Robots,40mm,80.0
Sekhetar Robots,40mm,160.0
Tzaangor Enlightened with Fatecaster Greatbows,40mm,60.0
Tzaangor Enlightened with Fatecaster Greatbows,40mm,110.0
Kairos Fateweaver,100mm,260.0
Lord of Change,100mm,250.0
Flamers,32mm,65.0
Flamers,32mm,130.0
Screamers,32mm flying base,80.0
Screamers,32mm flying base,160.0
PINK HORROR,32mm,115.0
BLUE HORROR/BRIMSTONE HORROR,25mm,115.0
Blue Horrors/Brimstone Horror,25mm,90.0
Wolf Priest,40mm,70.0
Wolf Guard Battle Leader,40mm,65.0
Wolf Guard Headtakers,40mm,85.0
Wolf Guard Headtakers,40mm,110.0
Wolf Guard Headtakers,40mm,170.0
Wolf Guard Headtakers,40mm,220.0
Hunting Wolves,60 x 35.5mm,85.0
Hunting Wolves,60 x 35.5mm,110.0
Hunting Wolves,60 x 35.5mm,170.0
Hunting Wolves,60 x 35.5mm,220.0
Wulfen,40mm,100.0
Wulfen,40mm,200.0
Wulfen Dreadnought,60mm,145.0
Knight Ruinator,170 x 109mm,375.0
Execrator,40mm,70.0
Crusade Ancient,40mm,65.0
Sternguard Veteran Squad,32mm,85.0
Sternguard Veteran Squad,32mm,170.0
Terminator Squad,40mm,175.0
Terminator Squad,40mm,330.0
Land Raider Crusader,Use model,220.0
Buri Aegnirssen,40mm,110.0
Memnyr Strategist,32mm,45.0
Arkanyst Evaluator,32mm,75.0
Knight Defender,170 x 109mm,425.0
Greater Daemon,100mm,
Lesser Daemons,32mm,
Abomination,50mm,
Daemonic Beasts,75 x 42mm,
NEOPHYTES,25mm,
OTHER MODELS,32mm,
Lady Malys,32mm,
Hand of the Archon,25mm,
Scourges,32mm,
Death Jester,25mm,
Shadowseer,25mm,
Solitaire,25mm,
Troupe Master,25mm,
Starweaver,65mm,
Skyweavers,60mm flying base,
Troupe,25mm,
Voidweaver,65mm,
Captain,50mm,
Captain On Bike,90 x 52mm,
Corsair Voidreavers,28.5mm,
Corsair Voidscarred,28.5mm,
Corsair Cloud Dancer Band,32mm flying base,
Corsair Reaver Band,25mm,
Corsair Skyreaver Band,25mm,
INQUISITOR OSTROMANDEUS,32mm,
STENTOR-I-52,28.5mm,
"KILL TEAM SERGEANT, DEATHWATCH VETERAN",32mm,
GRAVIS VETERAN,40mm,
"KILL TEAM SERGEANT, DEATHWATCH VETERAN",32mm,
GRAVIS VETERAN,40mm,
Canoptek Macrocytes,28.5mm,
Canoptek Tomb Crawlers,50mm,
Geomancer,50mm,
Judiciar Xacharus,40mm,
Chaplain Kastiel,40mm,
Da Red Gobbo Tinboy,40mm,
WOLF SCOUTS,32mm,
HUNTING WOLVES,60 x 35.5mm,
MARNEUS CALGAR,50mm,
Cato Sicarius,40mm,
Victrix Honour Guard,40mm,
Nekrosor Ammentar,80mm,
Captain Titus,40mm,
"Ancient Gadriel, Veteran Sergeant Metaurus",40mm,
"Gaius Silva, Aemelia Minervas, Dainal Kornelius, Lucia Vestha",28.5mm,
Celestian Insidiants,32mm,
"GARLON SOULEATER, GARREON THE CORPSEMASTER, KATAR GARRIX",40mm,
"CAPTAIN SARGOTTA, THE ENFORCER",40mm,
Prince Yriel,40mm,
Prince Yriel,32mm,
Starfangs,105 x 70mm,
Corsair Skyreavers,28.5mm,
Prince Yriel,32mm,
Prince Yriel,40mm,
Corsair Skyreavers,28.5mm,
Starfangs,105 x 70mm,
Ferren Areios,40mm,
Mutilators,50mm,
Defiler,160mm,
Defiler,160mm,
Defiler,160mm,
Thulia Ghuld,80mm,
Hastarii Exterminators,32mm,
Hastarii Fusiliers,32mm,
Knight Destrier,150 x 95mm,
